"","beer_name","style","abv","ibu","ounces","brewery_name","city","state","ounce"
"411","Red Cockaded Ale","American Double / Imperial IPA","6","11","2","Southern Star Brewing Company","Conroe"," TX","2"
"412","Valkyrie Double IPA","American Double / Imperial IPA","7","10","2","Southern Star Brewing Company","Conroe"," TX","2"
"413","Red Cockaded Ale (2013)","American Double / Imperial IPA","6","11","2","Southern Star Brewing Company","Conroe"," TX","2"
"414","Old Potentate","Old Ale","5","4","2","Southern Star Brewing Company","Conroe"," TX","2"
"415","Bombshell Blonde","American Blonde Ale","3","2","3","Southern Star Brewing Company","Conroe"," TX","3"
"416","PRO-AM (2012) (2012)","American Double / Imperial IPA","7","10","2","Southern Star Brewing Company","Conroe"," TX","2"
"417","Le Mort Vivant (2011)","Bière de Garde","5","3","2","Southern Star Brewing Company","Conroe"," TX","2"
"418","Buried Hatchet Stout","Foreign / Export Stout","6","5","2","Southern Star Brewing Company","Conroe"," TX","2"
"419","Pine Belt Pale Ale","American Pale Ale (APA)","5","5","3","Southern Star Brewing Company","Conroe"," TX","3"
"420","Bombshell Blonde","American Blonde Ale","3","2","2","Southern Star Brewing Company","Conroe"," TX","2"
"421","Third Eye Enlightened Pale Ale","American Pale Ale (APA)","5","7","2","Steamworks Brewing Company","Durango"," CO","2"
"422","Colorado Kölsch","Kölsch","3","2","2","Steamworks Brewing Company","Durango"," CO","2"
"423","Steam Engine Lager","American Amber / Red Lager","4","3","2","Steamworks Brewing Company","Durango"," CO","2"
"424","Third Eye Pale Ale","American IPA","5","7","2","Steamworks Brewing Company","Durango"," CO","2"
"425","Laka Laka Pineapple","Hefeweizen","4","2","2","Horny Goat Brew Pub","Milwaukee"," WI","2"
"426","IPA #11","American IPA","4","6","3","Cheboygan Brewing Company","Cheboygan"," MI","3"
"427","Blood Orange Honey","Fruit / Vegetable Beer","4","1","3","Cheboygan Brewing Company","Cheboygan"," MI","3"
"428","Main St. Virginia Ale","Altbier","3","4","2","Center of the Universe Brewing C...","Ashland"," VA","2"
"429","Chin Music Amber Lager","American Amber / Red Lager","3","3","2","Center of the Universe Brewing C...","Ashland"," VA","2"
"430","Main St. Virginia Ale","Altbier","3","4","2","Center of the Universe Brewing C...","Ashland"," VA","2"
"431","Ray Ray’s Pale Ale","American Pale Ale (APA)","4","5","2","Center of the Universe Brewing C...","Ashland"," VA","2"
"432","Mr. Blue Sky","American Pale Wheat Ale","3","1","3","Griffin Claw Brewing Company","Birmingham"," MI","3"
"433","Screamin’ Pumpkin","Pumpkin Ale","3","3","3","Griffin Claw Brewing Company","Birmingham"," MI","3"
"434","Grand Trunk Bohemian Pils","Czech Pilsener","3","4","3","Griffin Claw Brewing Company","Birmingham"," MI","3"
"435","El Rojo","American Amber / Red Ale","5","3","3","Griffin Claw Brewing Company","Birmingham"," MI","3"
"436","Grind Line","American Pale Ale (APA)","3","4","3","Griffin Claw Brewing Company","Birmingham"," MI","3"
"437","Norm's Gateway IPA","American IPA","3","6","2","Griffin Claw Brewing Company","Birmingham"," MI","2"
"438","Weisse Versa (2012)","Hefeweizen","4","2","2","Karbach Brewing Company","Houston"," TX","2"
"439","Mother in Lager","Munich Dunkel Lager","4","3","2","Karbach Brewing Company","Houston"," TX","2"
"440","Weekend Warrior Pale Ale","American Pale Ale (APA)","4","4","2","Karbach Brewing Company","Houston"," TX","2"
"441","Karbachtoberfest","Märzen / Oktoberfest","4","3","2","Karbach Brewing Company","Houston"," TX","2"
"442","Love Street Summer Seasonal (2014)","Kölsch","3","2","2","Karbach Brewing Company","Houston"," TX","2"
"443","Barn Burner Saison","Saison / Farmhouse Ale","5","2","2","Karbach Brewing Company","Houston"," TX","2"
"444","Rodeo Clown Double IPA","American Double / Imperial IPA","7","9","2","Karbach Brewing Company","Houston"," TX","2"
"445","Sympathy for the Lager","American Amber / Red Lager","3","5","2","Karbach Brewing Company","Houston"," TX","2"
"446","Weisse Versa","Hefeweizen","4","2","2","Karbach Brewing Company","Houston"," TX","2"
"447","Hopadillo India Pale Ale","American IPA","5","7","2","Karbach Brewing Company","Houston"," TX","2"
"448","The Green Room","American IPA","4","8","3","Uncle Billy's Brewery and Smokeh...","Austin"," TX","3"
"449","Humbucker Helles","Maibock / Helles Bock","3","3","3","Uncle Billy's Brewery and Smokeh...","Austin"," TX","3"
"450","Oak Cliff Coffee Ale","American Brown Ale","5","4","2","Deep Ellum Brewing Company","Dallas"," TX","2"
"451","Dream Crusher Double IPA","American Double / Imperial IPA","6","10","2","Deep Ellum Brewing Company","Dallas"," TX","2"
"452","Farmhouse Wit","Saison / Farmhouse Ale","3","3","3","Deep Ellum Brewing Company","Dallas"," TX","3"
"453","Dallas Blonde","American Blonde Ale","4","3","2","Deep Ellum Brewing Company","Dallas"," TX","2"
"454","Deep Ellum IPA","American IPA","5","7","2","Deep Ellum Brewing Company","Dallas"," TX","2"
"455","18th Anniversary Gose","Gose","3","1","2","Real Ale Brewing Company","Blanco"," TX","2"
"456","White (2015)","Witbier","3","3","2","Real Ale Brewing Company","Blanco"," TX","2"
"457","BLAKKR","American Black Ale","7","9","2","Real Ale Brewing Company","Blanco"," TX","2"
"458","Firemans #4 Blonde Ale (2013)","American Blonde Ale","4","3","2","Real Ale Brewing Company","Blanco"," TX","2"
"459","Hans' Pils (2015)","German Pilsener","4","6","2","Real Ale Brewing Company","Blanco"," TX","2"
"460","Four Squared (2015)","American Blonde Ale","4","5","2","Real Ale Brewing Company","Blanco"," TX","2"
"461","Firemans #4 Blonde Ale (2015)","American Blonde Ale","4","3","2","Real Ale Brewing Company","Blanco"," TX","2"
"462","American Lager","American Adjunct Lager","3","1","2","Straub Brewery","St Mary's"," PA","2"
"463","American Amber","American Amber / Red Lager","3","1","2","Straub Brewery","St Mary's"," PA","2"
"464","American Light","Light Lager","2","2","2","Straub Brewery","St Mary's"," PA","2"
"465","Point Special (Current)","American Adjunct Lager","3","1","2","Stevens Point Brewery","Stevens Point"," WI","2"
"466","Point Special","American Adjunct Lager","3","1","2","Stevens Point Brewery","Stevens Point"," WI","2"
"467","Point Cascade Pale Ale (2013)","American Pale Ale (APA)","4","4","2","Stevens Point Brewery","Stevens Point"," WI","2"
"468","Point Special","American Adjunct Lager","3","1","2","Stevens Point Brewery","Stevens Point"," WI","2"
"469","Onyx Black Ale","American Black Ale","4","1","2","Stevens Point Brewery","Stevens Point"," WI","2"
"470","Beyond The Pale IPA","American IPA","5","7","2","Stevens Point Brewery","Stevens Point"," WI","2"
"471","Point Special (2013)","American Adjunct Lager","3","1","2","Stevens Point Brewery","Stevens Point"," WI","2"
"472","Point Special (2012)","American Adjunct Lager","3","1","2","Stevens Point Brewery","Stevens Point"," WI","2"
"473","Point Special Lager","American Adjunct Lager","3","1","3","Stevens Point Brewery","Stevens Point"," WI","3"
"474","Point Oktoberfest","Märzen / Oktoberfest","4","2","3","Stevens Point Brewery","Stevens Point"," WI","3"
"475","Point Nude Beach Summer Wheat","American Pale Wheat Ale","4","1","3","Stevens Point Brewery","Stevens Point"," WI","3"
"476","Point Nude Beach Summer Wheat","American Pale Wheat Ale","3","1","2","Stevens Point Brewery","Stevens Point"," WI","2"
"477","Point Nude Beach Summer Wheat (2011)","American Pale Wheat Ale","3","1","2","Stevens Point Brewery","Stevens Point"," WI","2"
"478","Three Kings Ale","Kölsch","3","2","2","Stevens Point Brewery","Stevens Point"," WI","2"
"479","Point Oktoberfest","Märzen / Oktoberfest","4","2","2","Stevens Point Brewery","Stevens Point"," WI","2"
"480","2012 Black Ale","American Brown Ale","4","4","2","Stevens Point Brewery","Stevens Point"," WI","2"
"481","Point Nude Beach Summer Wheat (2010)","American Pale Wheat Ale","3","1","2","Stevens Point Brewery","Stevens Point"," WI","2"
"482","Point Cascade Pale Ale","American Pale Ale (APA)","4","4","2","Stevens Point Brewery","Stevens Point"," WI","2"
"483","Point Amber Classic","American Amber / Red Lager","3","2","2","Stevens Point Brewery","Stevens Point"," WI","2"
"484","Point Special Lager","American Adjunct Lager","3","1","2","Stevens Point Brewery","Stevens Point"," WI","2"
"485","O’Malley’s IPA","American IPA","5","9","2","Weston Brewing Company","Weston"," MO","2"
"486","L'il Lucy's Hot Pepper Ale","Chile Beer","3","3","2","Weston Brewing Company","Weston"," MO","2"
"487","2014 IPA Cicada Series","American IPA","5","8","3","Southern Prohibition Brewing Com...","Hattiesburg"," MS","3"
"488","Sinister Minister Black IPA","American IPA","6","7","3","Southern Prohibition Brewing Com...","Hattiesburg"," MS","3"
"489","Jack the Sipper","Extra Special / Strong Bitter (ESB)","4","5","2","Southern Prohibition Brewing Com...","Hattiesburg"," MS","2"
"490","Devil's Harvest Extra Pale Ale","American Pale Ale (APA)","4","6","2","Southern Prohibition Brewing Com...","Hattiesburg"," MS","2"
"491","Suzy B Dirty Blonde Ale","American Blonde Ale","3","2","2","Southern Prohibition Brewing Com...","Hattiesburg"," MS","2"
"492","Mississippi Fire Ant","American Amber / Red Ale","6","8","3","Southern Prohibition Brewing Com...","Hattiesburg"," MS","3"
"493","Hipster Breakfast","Oatmeal Stout","4","4","3","Southern Prohibition Brewing Com...","Hattiesburg"," MS","3"
"494","Suzy B Dirty Blonde Ale","American Blonde Ale","3","2","3","Southern Prohibition Brewing Com...","Hattiesburg"," MS","3"
"495","Devil's Harvest Extra Pale Ale","American Pale Ale (APA)","4","6","3","Southern Prohibition Brewing Com...","Hattiesburg"," MS","3"
"496","Morning Wood Wheat (Current)","American Pale Wheat Ale","4","2","2","Pug Ryan's Brewery","Dillon"," CO","2"
"497","Hideout Helles","Munich Helles Lager","5","2","2","Pug Ryan's Brewery","Dillon"," CO","2"
"498","Dead Eye Dunkel","Munich Dunkel Lager","4","2","2","Pug Ryan's Brewery","Dillon"," CO","2"
"499","Peacemaker Pilsner","Czech Pilsener","4","3","2","Pug Ryan's Brewery","Dillon"," CO","2"
"500","Over the Rail Pale Ale","American Pale Ale (APA)","4","7","2","Pug Ryan's Brewery","Dillon"," CO","2"
"501","Pallavicini Pilsner (2009)","Czech Pilsener","4","3","2","Pug Ryan's Brewery","Dillon"," CO","2"
"502","Morning Wood Wheat (Current)","American Pale Wheat Ale","4","2","2","Pug Ryan's Brewery","Dillon"," CO","2"
"503","Extra Pale Ale","American Pale Ale (APA)","4","5","2","Summit Brewing Company","St Paul"," MN","2"
"504","Oklahoma Suks","American Amber / Red Ale","3","4","2","Independence Brewing Company","Austin"," TX","2"
"505","Power & Light","American Pale Ale (APA)","4","5","2","Independence Brewing Company","Austin"," TX","2"
"506","White Rabbit ","Witbier","4","3","2","Independence Brewing Company","Austin"," TX","2"
"507","Cubano Espresso","Bock","4","3","2","Cigar City Brewing Company","Tampa"," FL","2"
"508","Operation Homefront","American IPA","4","7","2","Cigar City Brewing Company","Tampa"," FL","2"
"509","Wandering Pelican","American Black Ale","6","7","2","Cigar City Brewing Company","Tampa"," FL","2"
"510","Hopped on the High Seas (Hop #529)","American IPA","5","6","2","Cigar City Brewing Company","Tampa"," FL","2"
"511","Hopped on the High Seas (Calypso)","American IPA","5","6","2","Cigar City Brewing Company","Tampa"," FL","2"
"512","Dry-Hopped On The High Seas Caribbean-Style IPA","American IPA","5","6","2","Cigar City Brewing Company","Tampa"," FL","2"
"513","Hopped on the High Seas (Citra)","American IPA","5","6","2","Cigar City Brewing Company","Tampa"," FL","2"
"514","Hopped on the High Seas (Ahtanum)","American IPA","5","6","2","Cigar City Brewing Company","Tampa"," FL","2"
"515","Humidor Series India Pale Ale","American IPA","5","7","2","Cigar City Brewing Company","Tampa"," FL","2"
"516","Jai Alai IPA Aged on White Oak","American IPA","5","7","2","Cigar City Brewing Company","Tampa"," FL","2"
"517","José Martí American Porter","American Porter","6","7","2","Cigar City Brewing Company","Tampa"," FL","2"
"518","Maduro Brown Ale","English Brown Ale","4","3","2","Cigar City Brewing Company","Tampa"," FL","2"
"519","Maduro Brown Ale","American Brown Ale","4","3","2","Cigar City Brewing Company","Tampa"," FL","2"
"520","Tocobaga Red Ale","American Amber / Red Ale","5","8","2","Cigar City Brewing Company","Tampa"," FL","2"
"521","Jai Alai IPA","American IPA","5","7","2","Cigar City Brewing Company","Tampa"," FL","2"
"522","Florida Cracker Belgian Wit","Witbier","3","2","2","Cigar City Brewing Company","Tampa"," FL","2"
"523","Hunny Do Wheat","American Pale Wheat Ale","3","2","2","Third Street Brewhouse","Cold Spring"," MN","2"
"524","Gansett Light","Light Lager","2","1","3","Narragansett Brewing Company","Providence"," RI","3"
"525","Bohemian Pils","American Pilsner","4","3","3","Narragansett Brewing Company","Providence"," RI","3"
"526","Autocrat Coffee Milk Stout","Milk / Sweet Stout","4","3","3","Narragansett Brewing Company","Providence"," RI","3"
"527","Narragansett Bohemian Pilsner","German Pilsener","6","4","3","Narragansett Brewing Company","Providence"," RI","3"
"528","Narragansett Summer Ale","American Pale Wheat Ale","3","3","2","Narragansett Brewing Company","Providence"," RI","2"
"529","Narragansett Cream Ale","Cream Ale","3","3","3","Narragansett Brewing Company","Providence"," RI","3"
"530","Narragansett Summer Ale","American Pale Wheat Ale","3","3","3","Narragansett Brewing Company","Providence"," RI","3"
"531","Narragansett Porter","American Porter","5","3","3","Narragansett Brewing Company","Providence"," RI","3"
"532","Narragansett Bock","Bock","5","4","3","Narragansett Brewing Company","Providence"," RI","3"
"533","Narragansett Fest Lager","Märzen / Oktoberfest","4","2","3","Narragansett Brewing Company","Providence"," RI","3"
"534","Little Red Cap","Altbier","5","5","2","Grimm Brothers Brewhouse","Loveland"," CO","2"
"535","Perpetual Darkness","Belgian Strong Dark Ale","7","8","2","Odyssey Beerwerks","Arvada"," CO","2"
"536","Clan Warrior","Scotch Ale / Wee Heavy","6","3","2","Odyssey Beerwerks","Arvada"," CO","2"
"537","Psycho Penguin Vanilla Porter","American Porter","4","4","2","Odyssey Beerwerks","Arvada"," CO","2"
"538","Peacemaker Pale Ale","American Pale Ale (APA)","4","5","2","Lonerider Brewing Company","Raleigh"," NC","2"
"539","Shotgun Betty","Hefeweizen","4","2","2","Lonerider Brewing Company","Raleigh"," NC","2"
"540","Sweet Josie","American Brown Ale","4","3","2","Lonerider Brewing Company","Raleigh"," NC","2"
"541","Watershed IPA","American IPA","5","7","2","Oakshire Brewing","Eugene"," OR","2"
"542","Oakshire Amber Ale","American Amber / Red Ale","4","3","2","Oakshire Brewing","Eugene"," OR","2"
"543","Overcast Espresso Stout","American Stout","4","3","2","Oakshire Brewing","Eugene"," OR","2"
"544","Watershed IPA (2013)","American IPA","5","7","2","Oakshire Brewing","Eugene"," OR","2"
"545","Juke Joint IPA","American IPA","5","6","2","Tin Roof Brewing Company","Baton Rouge"," LA","2"
"546","Parade Ground Coffee Porter","American Porter","5","4","2","Tin Roof Brewing Company","Baton Rouge"," LA","2"
"547","Tin Roof Watermelon Wheat","Fruit / Vegetable Beer","3","3","2","Tin Roof Brewing Company","Baton Rouge"," LA","2"
"548","Tin Roof Blonde Ale","American Blonde Ale","3","2","2","Tin Roof Brewing Company","Baton Rouge"," LA","2"
"549","Voodoo Bengal Pale Ale","American Pale Ale (APA)","4","4","2","Tin Roof Brewing Company","Baton Rouge"," LA","2"
"550","Perfect Tin Amber","American Amber / Red Ale","3","3","2","Tin Roof Brewing Company","Baton Rouge"," LA","2"
"551","Knotty Blonde Ale","American Blonde Ale","3","2","2","Three Creeks Brewing","Sisters"," OR","2"
"552","Fivepine Chocolate Porter","American Porter","4","4","2","Three Creeks Brewing","Sisters"," OR","2"
"553","Hoodoo Voodoo IPA","American IPA","4","9","2","Three Creeks Brewing","Sisters"," OR","2"
"554","Hopportunity Knocks IPA","American IPA","5","10","2","Caldera Brewing Company","Ashland"," OR","2"
"555","Caldera Pale Ale","American Pale Ale (APA)","4","6","2","Caldera Brewing Company","Ashland"," OR","2"
"556","Lawnmower Lager","American Adjunct Lager","3","2","2","Caldera Brewing Company","Ashland"," OR","2"
"557","Ashland Amber Ale (2009)","American Amber / Red Ale","4","3","2","Caldera Brewing Company","Ashland"," OR","2"
"558","Caldera IPA (2009)","American IPA","4","10","2","Caldera Brewing Company","Ashland"," OR","2"
"559","Caldera IPA (2007)","American IPA","4","10","2","Caldera Brewing Company","Ashland"," OR","2"
"560","Caldera Pale Ale (2010)","American Pale Ale (APA)","4","6","2","Caldera Brewing Company","Ashland"," OR","2"
"561","Caldera Pale Ale (2009)","American Pale Ale (APA)","4","6","2","Caldera Brewing Company","Ashland"," OR","2"
"562","Caldera Pale Ale (2005)","American Pale Ale (APA)","4","6","2","Caldera Brewing Company","Ashland"," OR","2"
"563","Caldera Pale Ale (2007)","American Pale Ale (APA)","4","6","2","Caldera Brewing Company","Ashland"," OR","2"
"564","Caldera Pale Ale (2011)","American Pale Ale (APA)","4","6","2","Caldera Brewing Company","Ashland"," OR","2"
"565","Ashland Amber Ale","American Amber / Red Ale","4","3","2","Caldera Brewing Company","Ashland"," OR","2"
"566","Caldera IPA","American IPA","4","10","2","Caldera Brewing Company","Ashland"," OR","2"
"567","Wild Trail Pale Ale","American Pale Ale (APA)","4","5","2","Greenbrier Valley Brewing Company","Lewisburg"," WV","2"
"568","Mothman Black IPA","American Black Ale","5","8","2","Greenbrier Valley Brewing Company","Lewisburg"," WV","2"
"569","Camelback","American IPA","4","6","2","Phoenix Ale Brewery","Phoenix"," AZ","2"
"570","Lumberyard Pilsner","American Pilsner","4","2","2","Lumberyard Brewing Company","Flagstaff"," AZ","2"
"571","PUNK'N","Pumpkin Ale","3","1","2","Uinta Brewing Company","Salt Lake City"," UT","2"
"572","Yard Sale Winter Lager","American Amber / Red Lager","3","3","2","Uinta Brewing Company","Salt Lake City"," UT","2"
"573","Trader Session IPA","American IPA","3","5","2","Uinta Brewing Company","Salt Lake City"," UT","2"
"574","Hop Nosh IPA","American IPA","5","9","2","Uinta Brewing Company","Salt Lake City"," UT","2"
"575","SUM'R","American Blonde Ale","3","2","2","Uinta Brewing Company","Salt Lake City"," UT","2"
"576","Organic Baba Black Lager","Schwarzbier","3","4","2","Uinta Brewing Company","Salt Lake City"," UT","2"
"577","Hop Notch IPA (2013)","American IPA","5","9","2","Uinta Brewing Company","Salt Lake City"," UT","2"
"578","Cutthroat Pale Ale","American Pale Ale (APA)","3","4","2","Uinta Brewing Company","Salt Lake City"," UT","2"
"579","WYLD Extra Pale Ale","American Pale Ale (APA)","3","3","2","Uinta Brewing Company","Salt Lake City"," UT","2"
"580","Sunbru Kölsch","Kölsch","4","2","2","Four Peaks Brewing Company","Tempe"," AZ","2"
"581","Kilt Lifter Scottish-Style Ale","","4","3","2","Four Peaks Brewing Company","Tempe"," AZ","2"
"582","Four Peaks Peach Ale","Fruit / Vegetable Beer","3","1","2","Four Peaks Brewing Company","Tempe"," AZ","2"
"583","Hop Knot IPA","American IPA","5","5","2","Four Peaks Brewing Company","Tempe"," AZ","2"
"584","Kilt Lifter Scottish-Style Ale (2009)","Scottish Ale","4","3","2","Four Peaks Brewing Company","Tempe"," AZ","2"
"585","River House","Saison / Farmhouse Ale","3","2","3","Martin House Brewing Company","Fort Worth"," TX","3"
"586","Pretzel Stout","American Stout","5","5","3","Martin House Brewing Company","Fort Worth"," TX","3"
"587","Rubberneck Red","American Amber / Red Ale","3","4","3","Martin House Brewing Company","Fort Worth"," TX","3"
"588","Homefront IPA","American IPA","4","7","2","Sly Fox Brewing Company","Phoenixville"," PA","2"
"589","Sundown","Saison / Farmhouse Ale","5","4","2","Round Guys Brewing","Lansdale"," PA","2"
"590","Original Slacker Ale","English Brown Ale","4","4","2","Round Guys Brewing","Lansdale"," PA","2"
"591","Dog Days Summer Ale","Kölsch","3","3","2","Round Guys Brewing","Lansdale"," PA","2"
"592","Beer Agent Re-Ignition","American Blonde Ale","4","3","3","Great Crescent Brewery","Aurora"," IN","3"
"593","Cherry Ale","Fruit / Vegetable Beer","4","2","3","Great Crescent Brewery","Aurora"," IN","3"
"594","Bourbon Barrel Aged Coconut Porter","American Porter","4","4","3","Great Crescent Brewery","Aurora"," IN","3"
"595","Great Crescent IPA","American IPA","4","6","3","Great Crescent Brewery","Aurora"," IN","3"
"596","Aurora Lager","Dortmunder / Export Lager","4","3","3","Great Crescent Brewery","Aurora"," IN","3"
"597","Great Crescent Blonde Ale","American Blonde Ale","4","3","3","Great Crescent Brewery","Aurora"," IN","3"
"598","Great Crescent Coconut Porter","American Porter","4","4","3","Great Crescent Brewery","Aurora"," IN","3"
"599","Great Crescent Oktoberfest Lager","Märzen / Oktoberfest","4","3","3","Great Crescent Brewery","Aurora"," IN","3"
"600","Great Crescent Brown Ale","American Brown Ale","3","4","3","Great Crescent Brewery","Aurora"," IN","3"
"601","Cherry Ale (1)","Fruit / Vegetable Beer","4","2","3","Great Crescent Brewery","Aurora"," IN","3"
"602","Aurora Lager (2011)","Dortmunder / Export Lager","4","3","3","Great Crescent Brewery","Aurora"," IN","3"
"603","Frosted Fields Winter Wheat","American Dark Wheat Ale","4","3","3","Great Crescent Brewery","Aurora"," IN","3"
"604","Great Crescent Belgian Style Wit","Witbier","4","2","3","Great Crescent Brewery","Aurora"," IN","3"
"605","Bourbon's Barrel Stout","American Stout","5","7","3","Great Crescent Brewery","Aurora"," IN","3"
"606","Great Crescent Stout","English Stout","6","7","3","Great Crescent Brewery","Aurora"," IN","3"
"607","Great Crescent Coconut Porter (2012)","American Porter","4","4","3","Great Crescent Brewery","Aurora"," IN","3"
"608","Great Crescent Dark Lager","Euro Dark Lager","4","3","3","Great Crescent Brewery","Aurora"," IN","3"
"609","Great Crescent Mild Ale","English Dark Mild Ale","3","3","3","Great Crescent Brewery","Aurora"," IN","3"
"610","Great Crescent IPA (2011)","American IPA","4","6","3","Great Crescent Brewery","Aurora"," IN","3"
"611","Great Crescent Blonde Ale (2011)","American Blonde Ale","4","3","3","Great Crescent Brewery","Aurora"," IN","3"
"612","Pinner Throwback IPA","American IPA","3","4","2","Oskar Blues Brewery","Longmont"," CO","2"
"613","Dale's Pale Ale","American Pale Ale (APA)","5","7","2","Oskar Blues Brewery","Longmont"," CO","2"
"614","Dale's Pale Ale","American Pale Ale (APA)","5","7","2","Oskar Blues Brewery","Longmont"," CO","2"
"615","Mama's Little Yella Pils","Czech Pilsener","4","4","4","Oskar Blues Brewery","Longmont"," CO","4"
"616","Dale's Pale Ale","American Pale Ale (APA)","5","7","4","Oskar Blues Brewery","Longmont"," CO","4"
"617","Dale's Pale Ale (10 Year Anniversary)","American Pale Ale (APA)","5","7","2","Oskar Blues Brewery","Longmont"," CO","2"
"618","Dale's Pale Ale (2012)","American Pale Ale (APA)","5","7","2","Oskar Blues Brewery","Longmont"," CO","2"
"619","Gordon Imperial Red (2010)","American Double / Imperial IPA","6","9","2","Oskar Blues Brewery","Longmont"," CO","2"
"620","Dale's Pale Ale (2011)","American Pale Ale (APA)","5","7","2","Oskar Blues Brewery","Longmont"," CO","2"
"621","Dale's Pale Ale (2010)","American Pale Ale (APA)","5","7","2","Oskar Blues Brewery","Longmont"," CO","2"
"622","G'KNIGHT (16 oz.)","American Double / Imperial IPA","6","9","3","Oskar Blues Brewery","Longmont"," CO","3"
"623","HGH (Home Grown Hops): Part Duh","American Strong Ale","6","7","2","Oskar Blues Brewery","Longmont"," CO","2"
"624","One Hit Wonder","American Double / Imperial IPA","7","6","2","Oskar Blues Brewery","Longmont"," CO","2"
"625","G'KNIGHT (12 oz.)","American Double / Imperial IPA","6","9","2","Oskar Blues Brewery","Longmont"," CO","2"
"626","Ten Fidy Imperial Stout","Russian Imperial Stout","7","10","2","Oskar Blues Brewery","Longmont"," CO","2"
"627","Mama's Little Yella Pils","Czech Pilsener","4","4","2","Oskar Blues Brewery","Longmont"," CO","2"
"628","GUBNA Imperial IPA","American Double / Imperial IPA","7","10","2","Oskar Blues Brewery","Longmont"," CO","2"
"629","Old Chub","Scottish Ale","6","4","2","Oskar Blues Brewery","Longmont"," CO","2"
"630","Gordon Ale (2009)","American Double / Imperial IPA","6","9","2","Oskar Blues Brewery","Longmont"," CO","2"
"631","Dale's Pale Ale","American Pale Ale (APA)","5","7","2","Oskar Blues Brewery","Longmont"," CO","2"
"632","The Golden One","American Pilsner","5","3","2","High Hops Brewery","Windsor"," CO","2"
"633","The Power of Zeus","American Pale Ale (APA)","5","7","2","High Hops Brewery","Windsor"," CO","2"
"634","Aviator Raspberry Blonde","American Blonde Ale","3","3","2","Crooked Fence Brewing Company","Garden City"," ID","2"
"635","Little Sister India Style Session Ale","American IPA","3","6","2","Everybody's Brewing","White Salmon"," WA","2"
"636","Country Boy IPA","American IPA","4","8","2","Everybody's Brewing","White Salmon"," WA","2"
"637","Barney Flats Oatmeal Stout","Oatmeal Stout","4","2","2","Anderson Valley Brewing Company","Boonville"," CA","2"
"638","Summer Solstice","Cream Ale","4","1","2","Anderson Valley Brewing Company","Boonville"," CA","2"
"639","Hop Ottin' IPA","American IPA","5","8","2","Anderson Valley Brewing Company","Boonville"," CA","2"
"640","Boont Amber Ale","American Amber / Red Ale","4","2","2","Anderson Valley Brewing Company","Boonville"," CA","2"
"641","Barney Flats Oatmeal Stout","Oatmeal Stout","4","2","2","Anderson Valley Brewing Company","Boonville"," CA","2"
"642","El Steinber Dark Lager","Vienna Lager","4","3","3","Anderson Valley Brewing Company","Boonville"," CA","3"
"643","Boont Amber Ale (2010)","American Amber / Red Ale","4","2","2","Anderson Valley Brewing Company","Boonville"," CA","2"
"644","Summer Solstice Cerveza Crema (2009)","Cream Ale","4","1","2","Anderson Valley Brewing Company","Boonville"," CA","2"
"645","Barney Flats Oatmeal Stout (2012)","Oatmeal Stout","4","2","2","Anderson Valley Brewing Company","Boonville"," CA","2"
"646","Winter Solstice","Winter Warmer","5","1","2","Anderson Valley Brewing Company","Boonville"," CA","2"
"647","Hop Ottin' IPA (2011)","American IPA","5","8","2","Anderson Valley Brewing Company","Boonville"," CA","2"
"648","Boont Amber Ale (2011)","American Amber / Red Ale","4","2","2","Anderson Valley Brewing Company","Boonville"," CA","2"
"649","Summer Solstice (2011)","Cream Ale","4","1","2","Anderson Valley Brewing Company","Boonville"," CA","2"
"650","Poleeko Gold Pale Ale (2009)","American Pale Ale (APA)","4","3","2","Anderson Valley Brewing Company","Boonville"," CA","2"
"651","Second Fiddle","American Double / Imperial IPA","6","8","3","Fiddlehead Brewing Company","Shelburne"," VT","3"
"652","Hodad Porter","American Porter","4","3","3","Fiddlehead Brewing Company","Shelburne"," VT","3"
"653","Pride of Texas Pale Ale","American Pale Ale (APA)","4","6","2","Rahr & Sons Brewing Company","Fort Worth"," TX","2"
"654","Bitter Bitch","American Pale Ale (APA)","4","6","2","18th Street Brewery","Gary"," IN","2"
"655","Santa's Secret","Winter Warmer","4","3","3","Carolina Brewery","Pittsboro"," NC","3"
"656","Salamander Slam","American IPA","5","8","3","Frog Level Brewing Company","Waynesville"," NC","3"
"657","Blonde Hunny","Belgian Pale Ale","5","3","2","Wild Wolf Brewing Company","Nellysford"," VA","2"
"658","Wild Wolf Wee Heavy Scottish Style Ale","Scotch Ale / Wee Heavy","4","2","2","Wild Wolf Brewing Company","Nellysford"," VA","2"
"659","Wild Wolf American Pilsner","American Pilsner","3","3","2","Wild Wolf Brewing Company","Nellysford"," VA","2"
"660","Alpha Ale","American Pale Ale (APA)","4","5","2","Wild Wolf Brewing Company","Nellysford"," VA","2"
"661","Horny Toad Cerveza","American Blonde Ale","4","3","3","COOP Ale Works","Oklahoma City"," OK","3"
"662","Native Amber","American Amber / Red Ale","5","4","3","COOP Ale Works","Oklahoma City"," OK","3"
"663","F5 IPA","American IPA","5","10","3","COOP Ale Works","Oklahoma City"," OK","3"
"664","Native Amber (2013)","American Amber / Red Ale","5","4","3","COOP Ale Works","Oklahoma City"," OK","3"
