"","beer_name","style","abv","ibu","ounces","brewery_name","city","state"
"108","Self Starter","American IPA",0.052,67,16,"Warped Wing Brewing Company","Dayton"," OH"
"109","Nugget Nectar","American Amber",0.075,93,16,"Tröegs Brewing Company","Hershey"," PA"
"110","Perpetual IPA","American IPA",0.075,85,12,"Tröegs Brewing Company","Hershey"," PA"
"111","Mission IPA","American IPA",0.068,66,32,"Mission Brewery","San Diego"," CA"
"112","Shipwrecked Double IPA","American Double",0.092,75,32,"Mission Brewery","San Diego"," CA"
"113","Bay of Bengal Double IPA (2014)","American Double",0.089,126,12,"Christian Moerlein Brewing Company","Cincinnati"," OH"
"114","Hurricane Amber Ale (2004)","American Amber",0.052,24,12,"Coastal Extreme Brewing Company","Newport"," RI"
"115","Hurricane Amber Ale","American Amber",0.052,24,12,"Coastal Extreme Brewing Company","Newport"," RI"
"116","Newport Storm IPA","American IPA",0.065,75,12,"Coastal Extreme Brewing Company","Newport"," RI"
"117","King Street IPA","American IPA",0.06,70,12,"King Street Brewing Company","Anchorage"," AK"
"118","Back Bay IPA","American IPA",0.068,85,12,"Beer Works Brewery","Lowell"," MA"
"119","Clean Shave IPA","American IPA",0.067,70,12,"Glabrous Brewing Company","Pineland"," ME"
"120","Firestarter India Pale Ale","American IPA",0.066,72,12,"Bonfire Brewing Company","Eagle"," CO"
"121","Firestarter India Pale Ale","American IPA",0.066,72,16,"Bonfire Brewing Company","Eagle"," CO"
"122","4000 Footer IPA","American IPA",0.065,82,12,"Woodstock Inn, Station & Brewery","North Woodstock"," NH"
"123","Elevation Triple India Pale Ale","American Double",0.099,100,12,"Renegade Brewing Company","Denver"," CO"
"124","Ryeteous Rye IPA (2012)","American IPA",0.07,100,16,"Renegade Brewing Company","Denver"," CO"
"125","Redacted Rye IPA","American IPA",0.07,100,16,"Renegade Brewing Company","Denver"," CO"
"126","Blackmarket Rye IPA","American IPA",0.075,35,12,"Black Market Brewing Company","Temecula"," CA"
"127","Rule G IPA","American IPA",0.07,88,12,"Smartmouth Brewing Company","Norfolk"," VA"
"128","Murphy's Law","American Amber",0.058,35,12,"Smartmouth Brewing Company","Norfolk"," VA"
"129","Ultra Gnar Gnar IPA","American IPA",0.067,60,12,"Base Camp Brewing Co.","Portland"," OR"
"130","Yellow Wolf Imperial IPA","American Double",0.082,103,12,"Alameda Brewing","Portland"," OR"
"131","Valkyrie Double IPA","American Double",0.092,100,12,"Southern Star Brewing Company","Conroe"," TX"
"132","Red Cockaded Ale (2013)","American Double",0.085,110,12,"Southern Star Brewing Company","Conroe"," TX"
"133","PRO-AM (2012) (2012)","American Double",0.099,100,12,"Southern Star Brewing Company","Conroe"," TX"
"134","Red Cockaded Ale","American Double",0.085,110,12,"Southern Star Brewing Company","Conroe"," TX"
"135","Third Eye Pale Ale","American IPA",0.065,65,12,"Steamworks Brewing Company","Durango"," CO"
"136","Steam Engine Lager","American Amber",0.057,25,12,"Steamworks Brewing Company","Durango"," CO"
"137","IPA #11","American IPA",0.057,58,16,"Cheboygan Brewing Company","Cheboygan"," MI"
"138","Chin Music Amber Lager","American Amber",0.045,24,12,"Center of the Universe Brewing C...","Ashland"," VA"
"139","El Rojo","American Amber",0.065,25,16,"Griffin Claw Brewing Company","Birmingham"," MI"
"140","Norm's Gateway IPA","American IPA",0.04,55,12,"Griffin Claw Brewing Company","Birmingham"," MI"
"141","Hopadillo India Pale Ale","American IPA",0.066,70,12,"Karbach Brewing Company","Houston"," TX"
"142","Rodeo Clown Double IPA","American Double",0.095,85,12,"Karbach Brewing Company","Houston"," TX"
"143","Sympathy for the Lager","American Amber",0.049,45,12,"Karbach Brewing Company","Houston"," TX"
"144","The Green Room","American IPA",0.06,75,16,"Uncle Billy's Brewery and Smokeh...","Austin"," TX"
"145","Deep Ellum IPA","American IPA",0.07,70,12,"Deep Ellum Brewing Company","Dallas"," TX"
"146","Dream Crusher Double IPA","American Double",0.085,100,12,"Deep Ellum Brewing Company","Dallas"," TX"
"147","American Amber","American Amber",0.041,8,12,"Straub Brewery","St Mary's"," PA"
"148","Beyond The Pale IPA","American IPA",0.063,64,12,"Stevens Point Brewery","Stevens Point"," WI"
"149","Point Amber Classic","American Amber",0.047,14,12,"Stevens Point Brewery","Stevens Point"," WI"
"150","O’Malley’s IPA","American IPA",0.075,89,12,"Weston Brewing Company","Weston"," MO"
"151","Mississippi Fire Ant","American Amber",0.08,80,16,"Southern Prohibition Brewing Com...","Hattiesburg"," MS"
"152","Sinister Minister Black IPA","American IPA",0.077,65,16,"Southern Prohibition Brewing Com...","Hattiesburg"," MS"
"153","2014 IPA Cicada Series","American IPA",0.075,72,16,"Southern Prohibition Brewing Com...","Hattiesburg"," MS"
"154","Oklahoma Suks","American Amber",0.048,32,12,"Independence Brewing Company","Austin"," TX"
"155","Operation Homefront","American IPA",0.062,65,12,"Cigar City Brewing Company","Tampa"," FL"
"156","Tocobaga Red Ale","American Amber",0.072,75,12,"Cigar City Brewing Company","Tampa"," FL"
"157","Jai Alai IPA","American IPA",0.075,70,12,"Cigar City Brewing Company","Tampa"," FL"
"158","Dry-Hopped On The High Seas Caribbean-Style IPA","American IPA",0.07,60,12,"Cigar City Brewing Company","Tampa"," FL"
"159","Hopped on the High Seas (Hop #529)","American IPA",0.07,60,12,"Cigar City Brewing Company","Tampa"," FL"
"160","Jai Alai IPA Aged on White Oak","American IPA",0.075,70,12,"Cigar City Brewing Company","Tampa"," FL"
"161","Humidor Series India Pale Ale","American IPA",0.075,70,12,"Cigar City Brewing Company","Tampa"," FL"
"162","Hopped on the High Seas (Ahtanum)","American IPA",0.07,60,12,"Cigar City Brewing Company","Tampa"," FL"
"163","Hopped on the High Seas (Calypso)","American IPA",0.07,60,12,"Cigar City Brewing Company","Tampa"," FL"
"164","Hopped on the High Seas (Citra)","American IPA",0.07,60,12,"Cigar City Brewing Company","Tampa"," FL"
"165","Watershed IPA (2013)","American IPA",0.067,70,12,"Oakshire Brewing","Eugene"," OR"
"166","Watershed IPA","American IPA",0.067,70,12,"Oakshire Brewing","Eugene"," OR"
"167","Oakshire Amber Ale","American Amber",0.054,24,12,"Oakshire Brewing","Eugene"," OR"
"168","Perfect Tin Amber","American Amber",0.045,28,12,"Tin Roof Brewing Company","Baton Rouge"," LA"
"169","Juke Joint IPA","American IPA",0.07,60,12,"Tin Roof Brewing Company","Baton Rouge"," LA"
"170","Hoodoo Voodoo IPA","American IPA",0.062,82,12,"Three Creeks Brewing","Sisters"," OR"
"171","Caldera IPA (2007)","American IPA",0.061,94,12,"Caldera Brewing Company","Ashland"," OR"
"172","Caldera IPA","American IPA",0.061,94,12,"Caldera Brewing Company","Ashland"," OR"
"173","Ashland Amber Ale","American Amber",0.054,24,12,"Caldera Brewing Company","Ashland"," OR"
"174","Caldera IPA (2009)","American IPA",0.061,94,12,"Caldera Brewing Company","Ashland"," OR"
"175","Hopportunity Knocks IPA","American IPA",0.068,100,12,"Caldera Brewing Company","Ashland"," OR"
"176","Ashland Amber Ale (2009)","American Amber",0.054,24,12,"Caldera Brewing Company","Ashland"," OR"
"177","Camelback","American IPA",0.061,60,12,"Phoenix Ale Brewery","Phoenix"," AZ"
"178","Yard Sale Winter Lager","American Amber",0.04,22,12,"Uinta Brewing Company","Salt Lake City"," UT"
"179","Hop Nosh IPA","American IPA",0.073,83,12,"Uinta Brewing Company","Salt Lake City"," UT"
"180","Trader Session IPA","American IPA",0.04,42,12,"Uinta Brewing Company","Salt Lake City"," UT"
"181","Hop Notch IPA (2013)","American IPA",0.073,82,12,"Uinta Brewing Company","Salt Lake City"," UT"
"182","Hop Knot IPA","American IPA",0.067,47,12,"Four Peaks Brewing Company","Tempe"," AZ"
"183","Rubberneck Red","American Amber",0.05,35,16,"Martin House Brewing Company","Fort Worth"," TX"
"184","Homefront IPA","American IPA",0.06,70,12,"Sly Fox Brewing Company","Phoenixville"," PA"
"185","Great Crescent IPA (2011)","American IPA",0.062,60,16,"Great Crescent Brewery","Aurora"," IN"
"186","Great Crescent IPA","American IPA",0.062,60,16,"Great Crescent Brewery","Aurora"," IN"
"187","G'KNIGHT (12 oz.)","American Double",0.087,85,12,"Oskar Blues Brewery","Longmont"," CO"
"188","GUBNA Imperial IPA","American Double",0.099,100,12,"Oskar Blues Brewery","Longmont"," CO"
"189","One Hit Wonder","American Double",0.09,60,12,"Oskar Blues Brewery","Longmont"," CO"
"190","Gordon Ale (2009)","American Double",0.087,85,12,"Oskar Blues Brewery","Longmont"," CO"
"191","Pinner Throwback IPA","American IPA",0.049,35,12,"Oskar Blues Brewery","Longmont"," CO"
"192","Gordon Imperial Red (2010)","American Double",0.087,85,12,"Oskar Blues Brewery","Longmont"," CO"
"193","G'KNIGHT (16 oz.)","American Double",0.087,85,16,"Oskar Blues Brewery","Longmont"," CO"
"194","Country Boy IPA","American IPA",0.062,80,12,"Everybody's Brewing","White Salmon"," WA"
"195","Little Sister India Style Session Ale","American IPA",0.043,60,12,"Everybody's Brewing","White Salmon"," WA"
"196","Boont Amber Ale (2010)","American Amber",0.058,15,12,"Anderson Valley Brewing Company","Boonville"," CA"
"197","Boont Amber Ale (2011)","American Amber",0.058,15,12,"Anderson Valley Brewing Company","Boonville"," CA"
"198","Hop Ottin' IPA","American IPA",0.07,80,12,"Anderson Valley Brewing Company","Boonville"," CA"
"199","Boont Amber Ale","American Amber",0.058,15,12,"Anderson Valley Brewing Company","Boonville"," CA"
"200","Hop Ottin' IPA (2011)","American IPA",0.07,80,12,"Anderson Valley Brewing Company","Boonville"," CA"
"201","Second Fiddle","American Double",0.082,80,16,"Fiddlehead Brewing Company","Shelburne"," VT"
"202","Salamander Slam","American IPA",0.07,73,16,"Frog Level Brewing Company","Waynesville"," NC"
"203","Native Amber","American Amber",0.063,35,16,"COOP Ale Works","Oklahoma City"," OK"
"204","Native Amber (2013)","American Amber",0.063,35,16,"COOP Ale Works","Oklahoma City"," OK"
"205","F5 IPA","American IPA",0.068,100,16,"COOP Ale Works","Oklahoma City"," OK"
"206","Golden Ratio IPA","American IPA",0.07,68,16,"Seventh Son Brewing Company","Columbus"," OH"
"207","Seventh Son Hopped Red Ale","American Amber",0.077,40,16,"Seventh Son Brewing Company","Columbus"," OH"
"208","Lil' Helper","American IPA",0.07,70,12,"Mother's Brewing","Springfield"," MO"
"209","Immersion Amber","American Amber",0.052,27,12,"Two Beers Brewing Company","Seattle"," WA"
"210","Evo IPA","American IPA",0.062,70,12,"Two Beers Brewing Company","Seattle"," WA"
"211","Day Hike Session","American IPA",0.041,41,12,"Two Beers Brewing Company","Seattle"," WA"
"212","Trailhead India Style Session Ale (2011)","American IPA",0.048,48,12,"Two Beers Brewing Company","Seattle"," WA"
"213","Evolutionary IPA (2012)","American IPA",0.062,70,12,"Two Beers Brewing Company","Seattle"," WA"
"214","Evolutionary IPA (2011)","American IPA",0.062,70,12,"Two Beers Brewing Company","Seattle"," WA"
"215","Trailhead ISA","American IPA",0.048,48,12,"Two Beers Brewing Company","Seattle"," WA"
"216","Immersion Amber Ale (2011)","American Amber",0.052,27,12,"Two Beers Brewing Company","Seattle"," WA"
"217","Pako’s EyePA","American IPA",0.068,60,12,"Snake River Brewing Company","Jackson"," WY"
"218","Ghost Ship White IPA","American IPA",0.056,55,12,"Capital Brewery","Middleton"," WI"
"219","Mutiny IPA","American IPA",0.062,70,12,"Capital Brewery","Middleton"," WI"
"220","Goose Island India Pale Ale","American IPA",0.059,55,12,"Goose Island Brewery Company","Chicago"," IL"
"221","Alphadelic IPA","American IPA",0.065,90,12,"Hop Valley Brewing Company","Springfield"," OR"
"222","Proxima IPA","American IPA",0.063,70,12,"Hop Valley Brewing Company","Springfield"," OR"
"223","Alphadelic IPA (2011)","American IPA",0.065,90,12,"Hop Valley Brewing Company","Springfield"," OR"
"224","Worthy IPA (2013)","American IPA",0.069,69,12,"Worthy Brewing Company","Bend"," OR"
"225","Worthy IPA","American IPA",0.069,69,12,"Worthy Brewing Company","Bend"," OR"
"226","Lights Out Vanilla Cream Extra Stout","American Double",0.077,30,12,"Worthy Brewing Company","Bend"," OR"
"227","Loki Red Ale (2013)","American Amber",0.075,53,16,"Fearless Brewing Company","Estacada"," OR"
"228","Loki Red Ale","American Amber",0.075,53,16,"Fearless Brewing Company","Estacada"," OR"
"229","Campside Session IPA","American IPA",0.045,50,16,"Upland Brewing Company","Bloomington"," IN"
"230","Tsunami IPA","American IPA",0.072,75,12,"Mehana Brewing Co.","Hilo"," HI"
"231","Volcano Red Ale","American Amber",0.052,23,12,"Mehana Brewing Co.","Hilo"," HI"
"232","Tsunami IPA","American IPA",0.072,75,20,"Mehana Brewing Co.","Hilo"," HI"
"233","Amazon Princess IPA","American IPA",0.062,62,12,"People's Brewing Company","Lafayette"," IN"
"234","Mound Builder IPA","American IPA",0.065,77,12,"People's Brewing Company","Lafayette"," IN"
"235","Vortex IPA","American IPA",0.074,97,16,"Fort George Brewery","Astoria"," OR"
"236","Evil Owl","American Amber",0.052,40,12,"Branchline Brewing Company","San Antonio"," TX"
"237","Booming Rollers","American IPA",0.068,75,16,"Modern Times Beer","San Diego"," CA"
"238","Blazing World","American Amber",0.065,115,16,"Modern Times Beer","San Diego"," CA"
"239","City of the Sun","American IPA",0.075,85,16,"Modern Times Beer","San Diego"," CA"
"240","Aurora ","American Amber",0.067,75,16,"Modern Times Beer","San Diego"," CA"
"241","#004 Session I.P.A.","American IPA",0.048,38,12,"Wisconsin Brewing Company","Verona"," WI"
"242","#002 American I.P.A.","American IPA",0.071,60,12,"Wisconsin Brewing Company","Verona"," WI"
"243","More Cowbell","American Double",0.09,118,16,"Buffalo Bayou Brewing Company","Houston"," TX"
"244","1916 Shore Shiver","American IPA",0.069,65,12,"Forgotten Boardwalk","Cherry Hill"," NJ"
"245","Laughing Dog IPA","American IPA",0.064,66,12,"Laughing Dog Brewing Company","Ponderay"," ID"
"246","Bozone HopZone IPA","American IPA",0.07,80,12,"Bozeman Brewing Company","Bozeman"," MT"
"247","Hemlock Double IPA","American Double",0.095,104,12,"Big Choice Brewing","Broomfield"," CO"
"248","Disconnected Red","American Amber",0.067,85,16,"Big Choice Brewing","Broomfield"," CO"
"249","Arcus IPA","American IPA",0.069,81,12,"Big Storm Brewing Company","Odessa"," FL"
"250","Wavemaker","American Amber",0.058,38,12,"Big Storm Brewing Company","Odessa"," FL"
"251","Boat Beer","American IPA",0.042,35,12,"Carton Brewing Company","Atlantic Highlands"," NJ"
"252","077XX","American Double",0.078,80,16,"Carton Brewing Company","Atlantic Highlands"," NJ"
"253","Sockeye Red IPA","American IPA",0.057,70,12,"Midnight Sun Brewing Company","Anchorage"," AK"
"254","Pleasure Town IPA","American IPA",0.063,61,12,"Midnight Sun Brewing Company","Anchorage"," AK"
"255","Pleasure Town","American IPA",0.063,61,12,"Midnight Sun Brewing Company","Anchorage"," AK"
"256","Hop Stalker Fresh Hop IPA","American IPA",0.07,80,16,"Fat Head's Brewery","Middleburg Heights"," OH"
"257","On the Wings of Armageddon","American Double",0.092,115,12,"DC Brau Brewing Company","Washington"," DC"
"258","The Corruption","American IPA",0.065,80,12,"DC Brau Brewing Company","Washington"," DC"
"259","Cedar Point","American Amber",0.05,26,12,"Geneva Lake Brewing Company","Lake Geneva"," WI"
"260","No Wake IPA","American IPA",0.072,50,12,"Geneva Lake Brewing Company","Lake Geneva"," WI"
"261","Fisherman's Brew","American Amber",0.055,30,12,"Cape Ann Brewing Company","Gloucester"," MA"
"262","Dead-Eye DIPA","American Double",0.09,130,16,"Cape Ann Brewing Company","Gloucester"," MA"
"263","Fisherman's IPA","American IPA",0.055,64,12,"Cape Ann Brewing Company","Gloucester"," MA"
"264","Hop Box Imperial IPA","American Double",0.093,90,12,"Joseph James Brewing Company","Henderson"," NV"
"265","Harpoon IPA (2010)","American IPA",0.059,42,12,"Harpoon Brewery","Boston"," MA"
"266","Harpoon IPA (2012)","American IPA",0.059,42,12,"Harpoon Brewery","Boston"," MA"
"267","Harpoon IPA","American IPA",0.059,42,12,"Harpoon Brewery","Boston"," MA"
"268","Missile IPA","American IPA",0.07,65,12,"Champion Brewing Company","Charlottesville"," VA"
"269","Ananda India Pale Ale","American IPA",0.062,61,12,"Wiseacre Brewing Company","Memphis"," TN"
"270","Better Weather IPA","American IPA",0.094,92,16,"Golden Road Brewing","Los Angeles"," CA"
"271","2020 IPA","American IPA",0.074,74,16,"Golden Road Brewing","Los Angeles"," CA"
"272","Point the Way IPA","American IPA",0.059,60,12,"Golden Road Brewing","Los Angeles"," CA"
"273","Heal the Bay IPA","American IPA",0.068,65,16,"Golden Road Brewing","Los Angeles"," CA"
"274","Burning Bush Smoked IPA","American IPA",0.08,70,16,"Golden Road Brewing","Los Angeles"," CA"
"275","Point the Way IPA (2012)","American IPA",0.059,60,16,"Golden Road Brewing","Los Angeles"," CA"
"276","Wolf Among Weeds IPA (2012)","American IPA",0.08,70,16,"Golden Road Brewing","Los Angeles"," CA"
"277","Wolf Among Weeds IPA","American IPA",0.08,70,16,"Golden Road Brewing","Los Angeles"," CA"
"278","Point the Way IPA","American IPA",0.059,60,16,"Golden Road Brewing","Los Angeles"," CA"
